"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 13:00:44 GMT 2021","Mon Aug 23 13:01:19 GMT 2021","34234","","WikiTest","","WikiTest","testPageWalkthrough","6 Több oldalas bejárás - URL-ek mentése listába",""
"skipped","Mon Aug 23 13:01:59 GMT 2021","Mon Aug 23 13:01:59 GMT 2021","0","","WikiTest","","WikiTest","testRegistration","0 Regisztráció",""
"passed","Mon Aug 23 13:01:19 GMT 2021","Mon Aug 23 13:01:49 GMT 2021","30403","","WikiTest","","WikiTest","testSearchCount","10 Adatok lementése felületről - Keresési oldalon egy adott szó megszámlálása",""
"passed","Mon Aug 23 13:01:49 GMT 2021","Mon Aug 23 13:01:54 GMT 2021","4516","","WikiTest","","WikiTest","testLogin","1 Bejelentkezés",""
"passed","Mon Aug 23 13:02:03 GMT 2021","Mon Aug 23 13:02:12 GMT 2021","8536","","WikiTest","","WikiTest","testDeleteData","9 Adat törlése  - Belépés után a user oldalon az egyéni aláírás törlése",""
"passed","Mon Aug 23 13:02:20 GMT 2021","Mon Aug 23 13:02:25 GMT 2021","4645","","WikiTest","","WikiTest","testLogout","3 Kijelentkezés",""
"passed","Mon Aug 23 13:02:25 GMT 2021","Mon Aug 23 13:02:29 GMT 2021","4269","","WikiTest","","WikiTest","testChangeFonts","8 Meglévő adat modosítása - Betütípus cseréje",""
"passed","Mon Aug 23 13:02:12 GMT 2021","Mon Aug 23 13:02:20 GMT 2021","8263","","WikiTest","","WikiTest","testNewData","7 Új adat bevitel - Belépés után a user oldalon egy új aláírás beállítása",""
"passed","Mon Aug 23 13:01:54 GMT 2021","Mon Aug 23 13:01:57 GMT 2021","2985","","WikiTest","","WikiTest","testPrivacyPolicy","4 Adatvédelmi nyilatkozat müvelet - szöveg mentése külső fileba",""
"passed","Mon Aug 23 13:01:59 GMT 2021","Mon Aug 23 13:02:03 GMT 2021","4773","","WikiTest","","WikiTest","testLoginFromFile","2 Bejelentkezés - adatok külső fileból",""
"passed","Mon Aug 23 13:01:57 GMT 2021","Mon Aug 23 13:01:59 GMT 2021","2115","","WikiTest","","WikiTest","testArtsMenuListing","5 Adatok listázása - kiratás",""
